;address;floor;link_url;rooms;square;price;uptime
1206;梅陇二村;高层/6层;3385225;2室1厅;55;4400;20160830
1209;共富一村,共富路99弄;高层/6层;3381338;2室1厅;75;4000;20160828
1213;临泽路88弄, 临泽路89弄, 临泽路1;低层/17层;3376738;2室2厅;62;3500;20160826
1222;宜川一村,宜川一村;高层/5层;3351802;1室1厅;39;4000;20160829
1238;古美西路420弄;中层/6层;3373247;1室1厅;52;4000;20160825
1240;华绣路18弄,北艾路1500弄,北艾路1;中层/18层;3368732;1室0厅;75;2300;20160822
1241;长清路643弄,长清路693弄,长清路7;中层/6层;3367876;1室1厅;41;4300;20160822
1260;大宁路660弄;低层/12层;3386680;1室1厅;39;3200;20160831
1263;龙柏二村;低层/6层;3389253;1室1厅;59;3000;20160901
1264;晋元路95号;中层/6层;3389232;1室1厅;42;4200;20160901
1268;通河八村;高层/6层;3385937;1室1厅;43;3500;20160830
1271;吉浦路375弄;中层/6层;3388807;1室1厅;51;4000;20160831
1273;龙华西路21弄18-56号;高层/6层;3385316;1室1厅;43;3500;20160830
1274;抚顺路373弄, 抚顺路393弄, 鞍山;低层/6层;3384379;1室0厅;37;3800;20160829
1275;三期都市路3635弄,四期、五期金都路3;低层/6层;3383880;1室1厅;47;3400;20160829
1277;共和新路4699弄;高层/6层;3380534;1室1厅;47;3300;20160828
1282;开鲁五村;中层/6层;3387586;2室1厅;59;4000;20160831
1287;吴家湾路52弄, 汶水东路141弄;中层/6层;3385269;1室1厅;43;3500;20160830
1289;临汾路375弄;高层/6层;3384561;1室1厅;43;2500;20160830
1313;锦秋路1588弄;低层/18层;3386143;1室1厅;57;3300;20160830
1324;田林十三村;高层/6层;3395223;1室1厅;41;4000;20160903
1325;三门路358弄;高层/7层;3391699;2室1厅;43;4300;20160901
1326;普育东路32号;高层/6层;3391589;1室0厅;22;2500;20160901
1329;广富林路658弄;低层/21层;3386587;1室1厅;41;2700;20160830
